prop_exp,prev_ne,risk,SE_ratio,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.01,1.2,0.6,0.655,100_100_50,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.542,100_100_50,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.501,100_100_50,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.983,300_300_150,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.964,300_300_150,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.946,300_300_150,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.231,100_100_50,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.184,100_100_50,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.146,100_100_50,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.555,300_300_150,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.399,300_300_150,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.353,300_300_150,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.0620000000000001,100_100_50,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.0510000000000001,100_100_50,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.046,100_100_50,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.039,300_300_150,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.036,300_300_150,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.03,300_300_150,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.236,100_100_50,0.8,0.6,0,0,0.2,0,0.5,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.172,100_100_50,0.8,0.6,0.333333333333333,0.2,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.155,100_100_50,0.8,0.6,0.666666666666667,0.4,0.6,0.666666666666667,0.5,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.589,300_300_150,0.8,0.6,0,0,0.2,0,0.5,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.379,300_300_150,0.8,0.6,0.333333333333333,0.2,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.34,300_300_150,0.8,0.6,0.666666666666667,0.4,0.6,0.666666666666667,0.5,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.794,100_100_50,0.8,0.7,0,0,0.1,0,0.333333333333334,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.515,100_100_50,0.8,0.7,0.285714285714286,0.2,0.3,0.666666666666667,0.333333333333334,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.38,100_100_50,0.8,0.7,0.571428571428572,0.4,0.5,0.8,0.333333333333334,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,1,300_300_150,0.8,0.7,0,0,0.1,0,0.333333333333334,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.926,300_300_150,0.8,0.7,0.285714285714286,0.2,0.3,0.666666666666667,0.333333333333334,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.827,300_300_150,0.8,0.7,0.571428571428572,0.4,0.5,0.8,0.333333333333334,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.6,0.761,100_100_50,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.6,0.646,100_100_50,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.6,0.579,100_100_50,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.6,0.998,300_300_150,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.6,0.985,300_300_150,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.6,0.968,300_300_150,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.8,0.262,100_100_50,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.8,0.2,100_100_50,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.8,0.168,100_100_50,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.8,0.63,300_300_150,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.8,0.527,300_300_150,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,0.8,0.455,300_300_150,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1,0.0540000000000001,100_100_50,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1,0.0620000000000001,100_100_50,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1,0.0570000000000001,100_100_50,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1,0.0510000000000001,300_300_150,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1,0.041,300_300_150,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1,0.0520000000000001,300_300_150,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.2,0.275,100_100_50,0.8,0.6,0,0,0.2,0,0.5,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.2,0.198,100_100_50,0.8,0.6,0.333333333333333,0.2,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.2,0.163,100_100_50,0.8,0.6,0.666666666666667,0.4,0.6,0.666666666666667,0.5,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.2,0.676,300_300_150,0.8,0.6,0,0,0.2,0,0.5,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.2,0.514,300_300_150,0.8,0.6,0.333333333333333,0.2,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.2,0.353,300_300_150,0.8,0.6,0.666666666666667,0.4,0.6,0.666666666666667,0.5,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.4,0.849,100_100_50,0.8,0.7,0,0,0.1,0,0.333333333333334,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.4,0.538,100_100_50,0.8,0.7,0.285714285714286,0.2,0.3,0.666666666666667,0.333333333333334,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.4,0.424,100_100_50,0.8,0.7,0.571428571428572,0.4,0.5,0.8,0.333333333333334,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.4,0.999,300_300_150,0.8,0.7,0,0,0.1,0,0.333333333333334,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.4,0.967,300_300_150,0.8,0.7,0.285714285714286,0.2,0.3,0.666666666666667,0.333333333333334,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.01,2,1.4,0.869,300_300_150,0.8,0.7,0.571428571428572,0.4,0.5,0.8,0.333333333333334,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.6,1,100_100_50,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.6,1,100_100_50,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.6,1,100_100_50,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.6,1,300_300_150,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.6,1,300_300_150,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.6,1,300_300_150,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.8,0.969,100_100_50,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.8,0.916,100_100_50,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.8,0.831,100_100_50,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.8,1,300_300_150,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.8,1,300_300_150,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.8,1,300_300_150,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1,0.0629999999999999,100_100_50,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1,0.0560000000000001,100_100_50,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1,0.069,100_100_50,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1,0.049,300_300_150,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1,0.039,300_300_150,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1,0.053,300_300_150,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.2,0.98,100_100_50,0.8,0.6,0,0,0.2,0,0.5,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.2,0.884,100_100_50,0.8,0.6,0.333333333333333,0.2,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.2,0.78,100_100_50,0.8,0.6,0.666666666666667,0.4,0.6,0.666666666666667,0.5,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.2,1,300_300_150,0.8,0.6,0,0,0.2,0,0.5,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.2,1,300_300_150,0.8,0.6,0.333333333333333,0.2,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.2,0.999,300_300_150,0.8,0.6,0.666666666666667,0.4,0.6,0.666666666666667,0.5,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.4,1,100_100_50,0.8,0.7,0,0,0.1,0,0.333333333333334,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.4,1,100_100_50,0.8,0.7,0.285714285714286,0.2,0.3,0.666666666666667,0.333333333333334,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.4,0.998,100_100_50,0.8,0.7,0.571428571428572,0.4,0.5,0.8,0.333333333333334,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.4,1,300_300_150,0.8,0.7,0,0,0.1,0,0.333333333333334,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.4,1,300_300_150,0.8,0.7,0.285714285714286,0.2,0.3,0.666666666666667,0.333333333333334,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,1.2,1.4,1,300_300_150,0.8,0.7,0.571428571428572,0.4,0.5,0.8,0.333333333333334,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,1,100_100_50,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,1,100_100_50,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,1,100_100_50,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,1,300_300_150,0.8,0.3,0,0,0.5,0,0.714285714285714,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,1,300_300_150,0.8,0.3,0.666666666666667,0.2,0.7,0.285714285714286,0.714285714285714,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,1,300_300_150,0.8,0.3,1.33333333333333,0.4,0.9,0.444444444444444,0.714285714285714,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.8,0.989,100_100_50,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.8,0.957,100_100_50,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.8,0.93,100_100_50,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.8,1,300_300_150,0.8,0.4,0,0,0.4,0,0.666666666666667,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.8,1,300_300_150,0.8,0.4,0.5,0.2,0.6,0.333333333333333,0.666666666666667,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,0.8,1,300_300_150,0.8,0.4,1,0.4,0.8,0.5,0.666666666666667,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1,0.0580000000000001,100_100_50,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1,0.0570000000000001,100_100_50,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1,0.0629999999999999,100_100_50,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1,0.045,300_300_150,0.8,0.5,0,0,0.3,0,0.6,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1,0.0610000000000001,300_300_150,0.8,0.5,0.4,0.2,0.5,0.4,0.6,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1,0.044,300_300_150,0.8,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.2,0.989,100_100_50,0.8,0.6,0,0,0.2,0,0.5,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.2,0.919,100_100_50,0.8,0.6,0.333333333333333,0.2,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.2,0.837,100_100_50,0.8,0.6,0.666666666666667,0.4,0.6,0.666666666666667,0.5,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.2,1,300_300_150,0.8,0.6,0,0,0.2,0,0.5,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.2,1,300_300_150,0.8,0.6,0.333333333333333,0.2,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.2,0.999,300_300_150,0.8,0.6,0.666666666666667,0.4,0.6,0.666666666666667,0.5,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.4,1,100_100_50,0.8,0.7,0,0,0.1,0,0.333333333333334,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.4,1,100_100_50,0.8,0.7,0.285714285714286,0.2,0.3,0.666666666666667,0.333333333333334,0.5,0.4,0.2,0.5,0.4,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.4,0.999,100_100_50,0.8,0.7,0.571428571428572,0.4,0.5,0.8,0.333333333333334,0.5,0.8,0.4,0.7,0.571428571428571,0.6,0.99,0.99,0.99,0.99
0.05,0.1,2,1.4,1,300_300_150,0.8,0.7,0,0,0.1,0,0.333333333333334,0.5,0,0,0.3,0,0.6,0.99,0.99,0.99,0.99
