prop_exp,prev_ne,risk,SE_exp,power
0.01,0.01,0.5,0.15,0.991
0.01,0.01,0.5,0.3,0.987
0.01,0.01,0.5,0.4,0.931
0.01,0.01,0.5,0.5,0.817
0.01,0.01,0.5,0.6,0.993
0.01,0.01,0.5,0.75,0.652
0.01,0.01,0.5,0.9,0.58
0.01,0.01,0.9,0.15,0.934
0.01,0.01,0.9,0.3,0.65
0.01,0.01,0.9,0.4,0.923
0.01,0.01,0.9,0.5,0.797
0.01,0.01,0.9,0.6,0.514
0.01,0.01,0.9,0.75,0.524
0.01,0.01,0.9,0.9,0.408
0.01,0.01,1.1,0.15,0.786
0.01,0.01,1.1,0.3,0.847
0.01,0.01,1.1,0.4,0.906
0.01,0.01,1.1,0.5,0.838
0.01,0.01,1.1,0.6,0.644
0.01,0.01,1.1,0.75,0.921
0.01,0.01,1.1,0.9,0.329
0.01,0.01,2,0.15,0.78
0.01,0.01,2,0.3,0.574
0.01,0.01,2,0.4,0.44
0.01,0.01,2,0.5,0.663
0.01,0.01,2,0.6,0.279
0.01,0.01,2,0.75,0.539
0.01,0.01,2,0.9,0.454
0.01,0.05,0.5,0.15,0.843
0.01,0.05,0.5,0.3,0.917
0.01,0.05,0.5,0.4,0.606
0.01,0.05,0.5,0.5,0.53
0.01,0.05,0.5,0.6,0.869
0.01,0.05,0.5,0.75,0.476
0.01,0.05,0.5,0.9,0.802
0.01,0.05,0.9,0.15,0.942
0.01,0.05,0.9,0.3,0.744
0.01,0.05,0.9,0.4,0.641
0.01,0.05,0.9,0.5,0.268
0.01,0.05,0.9,0.6,0.475
0.01,0.05,0.9,0.75,0.23
0.01,0.05,0.9,0.9,0.323
0.01,0.05,1.1,0.15,0.766
0.01,0.05,1.1,0.3,0.416
0.01,0.05,1.1,0.4,0.536
0.01,0.05,1.1,0.5,0.358
0.01,0.05,1.1,0.6,0.587
0.01,0.05,1.1,0.75,0.276
0.01,0.05,1.1,0.9,0.311
0.01,0.05,2,0.15,0.521
0.01,0.05,2,0.3,0.263
0.01,0.05,2,0.4,0.146
0.01,0.05,2,0.5,0.206
0.01,0.05,2,0.6,0.25
0.01,0.05,2,0.75,0.251
0.01,0.05,2,0.9,0.386
0.01,0.1,0.5,0.15,0.974
0.01,0.1,0.5,0.3,0.701
0.01,0.1,0.5,0.4,0.751
0.01,0.1,0.5,0.5,0.442
0.01,0.1,0.5,0.6,0.486
0.01,0.1,0.5,0.75,0.339
0.01,0.1,0.5,0.9,0.435
0.01,0.1,0.9,0.15,0.752
0.01,0.1,0.9,0.3,0.384
0.01,0.1,0.9,0.4,0.489
0.01,0.1,0.9,0.5,0.283
0.01,0.1,0.9,0.6,0.21
0.01,0.1,0.9,0.75,0.556
0.01,0.1,0.9,0.9,0.247
0.01,0.1,1.1,0.15,0.821
0.01,0.1,1.1,0.3,0.544
0.01,0.1,1.1,0.4,0.283
0.01,0.1,1.1,0.5,0.186
0.01,0.1,1.1,0.6,0.308
0.01,0.1,1.1,0.75,0.424
0.01,0.1,1.1,0.9,0.336
0.01,0.1,2,0.15,0.846
0.01,0.1,2,0.3,0.258
0.01,0.1,2,0.4,0.186
0.01,0.1,2,0.5,0.224
0.01,0.1,2,0.6,0.134
0.01,0.1,2,0.75,0.508
0.01,0.1,2,0.9,0.892
0.1,0.01,0.5,0.15,0.423
0.1,0.01,0.5,0.3,0.159
0.1,0.01,0.5,0.4,0.107
0.1,0.01,0.5,0.5,0.088
0.1,0.01,0.5,0.6,0.0550000000000001
0.1,0.01,0.5,0.75,0.102
0.1,0.01,0.5,0.9,0.214
0.1,0.01,0.9,0.15,0.348
0.1,0.01,0.9,0.3,0.094
0.1,0.01,0.9,0.4,0.094
0.1,0.01,0.9,0.5,0.102
0.1,0.01,0.9,0.6,0.162
0.1,0.01,0.9,0.75,0.201
0.1,0.01,0.9,0.9,0.292
0.1,0.01,1.1,0.15,0.324
0.1,0.01,1.1,0.3,0.09
0.1,0.01,1.1,0.4,0.096
0.1,0.01,1.1,0.5,0.116
0.1,0.01,1.1,0.6,0.145
0.1,0.01,1.1,0.75,0.209
0.1,0.01,1.1,0.9,0.278
0.1,0.01,2,0.15,0.401
0.1,0.01,2,0.3,0.123
0.1,0.01,2,0.4,0.078
0.1,0.01,2,0.5,0.085
0.1,0.01,2,0.6,0.118
0.1,0.01,2,0.75,0.229
0.1,0.01,2,0.9,0.41
0.1,0.05,0.5,0.15,0.483
0.1,0.05,0.5,0.3,0.155
0.1,0.05,0.5,0.4,0.076
0.1,0.05,0.5,0.5,0.072
0.1,0.05,0.5,0.6,0.097
0.1,0.05,0.5,0.75,0.199
0.1,0.05,0.5,0.9,0.354
0.1,0.05,0.9,0.15,0.69
0.1,0.05,0.9,0.3,0.244
0.1,0.05,0.9,0.4,0.105
0.1,0.05,0.9,0.5,0.0520000000000001
0.1,0.05,0.9,0.6,0.115
0.1,0.05,0.9,0.75,0.332
0.1,0.05,0.9,0.9,0.637
0.1,0.05,1.1,0.15,0.81
0.1,0.05,1.1,0.3,0.312
0.1,0.05,1.1,0.4,0.107
0.1,0.05,1.1,0.5,0.069
0.1,0.05,1.1,0.6,0.123
0.1,0.05,1.1,0.75,0.401
0.1,0.05,1.1,0.9,0.757
0.1,0.05,2,0.15,0.979
0.1,0.05,2,0.3,0.547
0.1,0.05,2,0.4,0.157
0.1,0.05,2,0.5,0.064
0.1,0.05,2,0.6,0.229
0.1,0.05,2,0.75,0.743
0.1,0.05,2,0.9,0.959
0.1,0.1,0.5,0.15,0.65
0.1,0.1,0.5,0.3,0.272
0.1,0.1,0.5,0.4,0.097
0.1,0.1,0.5,0.5,0.053
0.1,0.1,0.5,0.6,0.086
0.1,0.1,0.5,0.75,0.29
0.1,0.1,0.5,0.9,0.582
0.1,0.1,0.9,0.15,0.935
0.1,0.1,0.9,0.3,0.478
0.1,0.1,0.9,0.4,0.123
0.1,0.1,0.9,0.5,0.0629999999999999
0.1,0.1,0.9,0.6,0.13
0.1,0.1,0.9,0.75,0.591
0.1,0.1,0.9,0.9,0.915
0.1,0.1,1.1,0.15,0.979
0.1,0.1,1.1,0.3,0.553
0.1,0.1,1.1,0.4,0.191
0.1,0.1,1.1,0.5,0.048
0.1,0.1,1.1,0.6,0.157
0.1,0.1,1.1,0.75,0.693
0.1,0.1,1.1,0.9,0.978
0.1,0.1,2,0.15,1
0.1,0.1,2,0.3,0.861
0.1,0.1,2,0.4,0.32
0.1,0.1,2,0.5,0.0520000000000001
0.1,0.1,2,0.6,0.413
0.1,0.1,2,0.75,0.965
0.1,0.1,2,0.9,1
